Sample	ndiff	n_resolved	seq_mode	seq_LH	pos_mode	pos_LH	coal_mode	coal_LH
0	0	0	joint	-149923.8629959272	joint	-4810000158161.761	None	0
1	22	7062	joint	-154057.36690443824	joint	-26960000151969.58	None	0.0
2	1	1216	joint	-153912.60755291756	joint	-27540000151826.414	None	0.0
3	3	351	joint	-153899.10046789976	joint	-27490000151816.094	None	0.0
4	0	58	joint	-153899.82286933158	joint	-27490000151816.176	None	0.0
5	3	0	joint	-153901.3104625013	joint	-27490000151817.66	None	0.0
6	0	1	joint	-153900.4178190403	joint	-27480000151813.734	None	0.0
7	3	0	joint	-153904.10288745107	joint	-27480000151813.734	None	0.0
8	8	0	joint	-153904.5734319502	joint	-27480000151817.54	None	0.0
9	5	0	joint	-153899.68008529322	joint	-27480000151818.61	None	0.0
10	0	2	joint	-153900.23309763364	joint	-27480000151813.727	None	0.0
