#name, A, B
NODE_0000000, 0.9999957741175458, 4.225882454184659e-06
NODE_0010898, 0.9999999861832338, 1.3816766162707362e-08
EPI_ISL_30713|181803|A/Missouri/02/2009|C1|2009-05-01, 1.0, 0.0
NODE_0000002, 0.9999994229557554, 5.77044244585952e-07
EPI_ISL_31575|184373|A/Oklahoma/03/2009|C2|2009-05-01, 1.0, 0.0
EPI_ISL_31165|183139|A/Florida/09/2009|C1|2009-05-01, 1.0, 0.0
NODE_0000837, 0.9999999999971365, 2.8635244144473746e-12
EPI_ISL_31564|184340|A/Delaware/07/2009|C1|2009-04-28, 1.0, 0.0
EPI_ISL_31563|184337|A/Delaware/06/2009|C1|2009-04-28, 1.0, 0.0
EPI_ISL_30173|179422|A/New_York/3099/2009||2009-04-29, 1.0, 0.0
NODE_0000024, 0.9999999994422075, 5.577924787464861e-10
EPI_ISL_30105|179150|A/New_Jersey/02/2009|C1|2009-04-01, 1.0, 0.0
NODE_0000005, 0.9999999994783855, 5.216146134791011e-10
NODE_0000007, 0.9999999999979026, 2.097480213622115e-12
EPI_ISL_30498|180599|A/Delaware/05/2009|E2|2009-04-28, 0.9999999999999999, 0.0
EPI_ISL_30726|181833|A/Delaware/08/2009|C1|2009-04-28, 0.9999999999999999, 0.0
NODE_0000008, 0.9999999999907575, 9.242550509320822e-12
NODE_0000011, 0.9999999999965361, 3.4639255773640447e-12
NODE_0000012, 0.999999999999511, 4.890007079791273e-13
EPI_ISL_30686|181677|A/New_York/3183/2009||2009-04-28, 1.0, 0.0
EPI_ISL_30134|179251|A/Delaware/04/2009|C1|2009-04-28, 1.0, 0.0
NODE_0000013, 0.999999999999511, 4.890007079791273e-13
EPI_ISL_30103|179144|A/New_Hampshire/02/2009|C1|2009-04-28, 1.0, 0.0
EPI_ISL_30099|179121|A/Delaware/03/2009|E1|2009-04-28, 1.0, 0.0
NODE_0000017, 0.9999999999965355, 3.4643271808936966e-12
NODE_0000018, 0.999999999999511, 4.890007148433359e-13
EPI_ISL_30136|179510|A/District_of_Columbia/03/2009|C1|2009-04-27, 1.0, 0.0
EPI_ISL_30061|178984|A/New_York/1682/2009||2009-04-27, 1.0, 0.0
NODE_0000020, 0.9999999999961939, 3.8060010460369926e-12
EPI_ISL_30098|179118|A/Delaware/02/2009|E1|2009-04-28, 1.0, 0.0
NODE_0000022, 0.9999999999915511, 8.448925057108547e-12
EPI_ISL_30101|179134|A/Maryland/05/2009|C1|2009-04-29, 1.0, 0.0
NODE_0000023, 0.9999999999995108, 4.890859116020999e-13
