#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI_ISL_78828|277817|A/Ft_Carson/WR1448P/2009|MDCK2|2009-10-13, 2009.78, 0.002919, -0.004417
EPI_ISL_78824|277785|A/South_Carolina/WR1326P/2009|MDCK2|2009-07-31, 2009.58, 0.004971, -0.001620
EPI_ISL_78815|277713|A/California/WR1317P/2009|MDCK2|2009-08-10, 2009.6, 0.006711, 0.000045
EPI_ISL_78816|277721|A/California/WR1318P/2009|MDCK2|2009-08-10, 2009.6, 0.007885, 0.001219
EPI_ISL_78814|277705|A/California/WR1316P/2009|MDCK2|2009-08-05, 2009.59, 0.006716, 0.000088
EPI_ISL_78856|278041|A/South_Carolina/WRSP520/2009|MDCK2|2009-09-05, 2009.67, 0.009056, 0.002129
EPI_ISL_78810|277673|A/California/WR1312P/2009|MDCK2|2009-08-08, 2009.6, 0.007302, 0.000636
EPI_ISL_78822|277769|A/South_Carolina/WR1324P/2009|MDCK2|2009-08-01, 2009.58, 0.005555, -0.001037
EPI_ISL_78819|277745|A/California/WR1321P/2009|MDCK2|2009-08-07, 2009.59, 0.006138, -0.000491
EPI_ISL_78829|277825|A/Ft_Carson/WR1449P/2009|MDCK2|2009-10-23, 2009.8, 0.008476, 0.001066
EPI_ISL_78812|277689|A/California/WR1314P/2009|MDCK2|2009-08-05, 2009.59, 0.007306, 0.000677
EPI_ISL_78813|277697|A/California/WR1315P/2009|MDCK2|2009-08-05, 2009.59, 0.007885, 0.001256
EPI_ISL_78823|277777|A/South_Carolina/WR1325P/2009|MDCK2|2009-07-31, 2009.58, 0.005559, -0.001033
EPI_ISL_78817|277729|A/California/WR1319P/2009|MDCK2|2009-07-08, 2009.52, 0.006142, -0.000226
EPI_ISL_78818|277737|A/California/WR1320P/2009|MDCK2|2009-08-07, 2009.59, 0.006142, -0.000486
EPI_ISL_78811|277681|A/California/WR1313P/2009|MDCK2|2009-07-08, 2009.52, 0.006142, -0.000226
EPI_ISL_78820|277753|A/California/WR1323P/2009|MDCK2|2009-06-08, 2009.43, 0.007308, 0.001275
EPI_ISL_78827|277809|A/Ft_Carson/WR1446P/2009|MDCK2|2009-10-15, 2009.78, 0.008481, 0.001144
EPI_ISL_33950|190879|A/Silver_Spring/SP509/2009|MDCK2|2009-06-18, 2009.46, 0.005363, -0.000781
EPI_ISL_33940|190799|A/San_Antonio/PR923/2009|MDCK2|2009-04-23, 2009.31, 0.005680, 0.000094
