#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI_ISL_31575|184373|A/Oklahoma/03/2009|C2|2009-05-01, 2009.33, 0.000291, -0.000713
EPI_ISL_30713|181803|A/Missouri/02/2009|C1|2009-05-01, 2009.33, 0.001455, 0.000452
EPI_ISL_31165|183139|A/Florida/09/2009|C1|2009-05-01, 2009.33, 0.000873, -0.000130
EPI_ISL_31563|184337|A/Delaware/06/2009|C1|2009-04-28, 2009.32, 0.001451, 0.000484
EPI_ISL_30134|179251|A/Delaware/04/2009|C1|2009-04-28, 2009.32, 0.000876, -0.000091
EPI_ISL_30726|181833|A/Delaware/08/2009|C1|2009-04-28, 2009.32, 0.000878, -0.000088
EPI_ISL_30498|180599|A/Delaware/05/2009|E2|2009-04-28, 2009.32, 0.000880, -0.000086
EPI_ISL_31564|184340|A/Delaware/07/2009|C1|2009-04-28, 2009.32, 0.001462, 0.000496
EPI_ISL_30173|179422|A/New_York/3099/2009||2009-04-29, 2009.33, 0.001463, 0.000459
EPI_ISL_30971|182769|A/New_York/3100/2009||2009-04-30, 2009.33, 0.000873, -0.000130
EPI_ISL_30135|179509|A/District_of_Columbia/02/2009|C1|2009-04-29, 2009.33, 0.000873, -0.000130
EPI_ISL_30061|178984|A/New_York/1682/2009||2009-04-27, 2009.32, 0.000873, -0.000093
EPI_ISL_30136|179510|A/District_of_Columbia/03/2009|C1|2009-04-27, 2009.32, 0.000873, -0.000093
EPI_ISL_30099|179121|A/Delaware/03/2009|E1|2009-04-28, 2009.32, 0.000873, -0.000093
EPI_ISL_30103|179144|A/New_Hampshire/02/2009|C1|2009-04-28, 2009.32, 0.000873, -0.000093
EPI_ISL_30098|179118|A/Delaware/02/2009|E1|2009-04-28, 2009.32, 0.000873, -0.000093
EPI_ISL_30686|181677|A/New_York/3183/2009||2009-04-28, 2009.32, 0.000873, -0.000093
EPI_ISL_30105|179150|A/New_Jersey/02/2009|C1|2009-04-01, 2009.25, 0.000873, 0.000168
EPI_ISL_30101|179134|A/Maryland/05/2009|C1|2009-04-29, 2009.33, 0.000873, -0.000130
EPI_ISL_33940|190799|A/San_Antonio/PR923/2009|MDCK2|2009-04-23, 2009.31, 0.003798, 0.002869
EPI_ISL_30114|179175|A/North_Carolina/05/2009|C1|2009-04-28, 2009.32, 0.001464, 0.000498
EPI_ISL_33939|190791|A/San_Antonio/PR922/2009|MDCK2|2009-04-15, 2009.29, 0.001470, 0.000615
EPI_ISL_30724|181829|A/Texas/10/2009|E2|2009-04-23, 2009.31, 0.000891, -0.000039
EPI_ISL_30510|180626|A/Texas/04/2009|X/E2|2009-04-14, 2009.28, 0.000892, 0.000074
EPI_ISL_30717|181815|A/Texas/11/2009|E2|2009-04-23, 2009.31, 0.001469, 0.000540
EPI_ISL_29581|176515|A/Texas/05/2009|ORIGINAL|2009-04-15, 2009.29, 0.000889, 0.000035
EPI_ISL_29952|178375|A/Texas/09/2009|C1|2009-04-25, 2009.32, 0.000892, -0.000075
EPI_ISL_30156|179320|A/Texas/08/2009|E2|2009-04-24, 2009.31, 0.000894, -0.000035
EPI_ISL_33938|190783|A/San_Antonio/PR921/2009|MDCK2|2009-04-14, 2009.28, 0.000894, 0.000077
EPI_ISL_30506|180618|A/Oklahoma/01/2009|C1|2009-04-28, 2009.32, 0.000894, -0.000072
EPI_ISL_29960|178425|A/Kansas/02/2009|C1|2009-04-24, 2009.31, 0.000894, -0.000035
EPI_ISL_30192|179568|A/Texas/12/2009|C2|2009-04-24, 2009.31, 0.000894, -0.000035
EPI_ISL_29578|177302|A/Texas/04/2009|X|2009-04-14, 2009.28, 0.000894, 0.000077
EPI_ISL_29746|177424|A/Texas/06/2009|C1|2009-04-23, 2009.31, 0.000894, -0.000035
EPI_ISL_30117|179189|A/Texas/22/2009|C1|2009-04-26, 2009.32, 0.000894, -0.000072
EPI_ISL_328761|1305759|A/Homo_sapiens/USA/10/2015||2015-05-05, 2015.34, 0.004373, -0.019024
EPI_ISL_188981|617648|A/California/07-JRO08/2009|Egg_1+MDCK_2|2009-04-09, 2009.27, 0.002631, 0.001851
EPI_ISL_188968|617633|A/California/07-JRO03/2009|MDCK_4|2009-04-09, 2009.27, 0.002634, 0.001854
EPI_ISL_29621|185382|A/California/08/2009|C1|2009-04-09, 2009.27, 0.002634, 0.001854
EPI_ISL_188967|617718|A/California/07-JRO02/2009|MDCK_3|2009-04-09, 2009.27, 0.002634, 0.001854
EPI_ISL_31553|177294|A/California/07/2009|C1|2009-04-09, 2009.27, 0.002634, 0.001854
EPI_ISL_188970|617674|A/California/07-JRO10/2009|Egg_3+MDCK_2|2009-04-09, 2009.27, 0.003218, 0.002438
EPI_ISL_223466|768934|A/California/SWL7/2009|E6|2009-04-09, 2009.27, 0.003801, 0.003021
EPI_ISL_188969|617662|A/California/07-JRO09/2009|Egg_2+MDCK_2|2009-04-09, 2009.27, 0.003223, 0.002443
EPI_ISL_4070999|1902518|A/California/X179A/2009||2009-06-01, 2009.41, 0.003803, 0.002501
VDL|A/swine/USA/15102/2012|H1N2|HA|swine|2012-04-25, 2012.32, 0.003800, -0.008344
VDL|A/swine/USA/14020/2017|H1N1|HA|swine|2017-02-28, 2017.16, 0.004385, -0.025793
EPI_ISL_502734|1775496|A/USA/P10_HA/2018||2018-01-01, 2018.0, 0.004973, -0.028335
VDL|A/swine/USA/12574/2012|Unsubtypable|HA|swine|2012-04-06, 2012.26, 0.003223, -0.008698
EPI_ISL_31574|184369|A/Pennsylvania/09/2009|C1|2009-04-30, 2009.33, 0.003226, 0.002222
EPI_ISL_29618|178457|A/California/04/2009|C2|2009-04-01, 2009.25, 0.003226, 0.002520
EPI_ISL_80205|282980|A/San_Diego/WR1632P/2009|MDCK2|2009-05-02, 2009.33, 0.002046, 0.001042
EPI_ISL_61793|215210|A/Craven/WR0019/2009|MDCK2|2009-05-05, 2009.34, 0.002633, 0.001592
EPI_ISL_33570|189095|A/California/27/2009|C2|2009-05-01, 2009.33, 0.002632, 0.001628
EPI_ISL_61790|215198|A/Cherry_Point/WR1355/2009|MDCK2|2009-04-28, 2009.32, 0.003806, 0.002839
EPI_ISL_61788|215182|A/Cherry_Point/WR0101/2009|MDCK2|2009-05-02, 2009.33, 0.002055, 0.001052
EPI_ISL_30725|181831|A/Arizona/06/2009|C1|2009-04-28, 2009.32, 0.002055, 0.001089
EPI_ISL_32630|186641|A/Brawley/40081/2009|MDCK2|2009-04-22, 2009.31, 0.003220, 0.002291
EPI_ISL_30495|180592|A/California/11/2009|E2|2009-04-24, 2009.31, 0.002642, 0.001713
EPI_ISL_30125|179223|A/California/12/2009|C1|2009-04-22, 2009.31, 0.002642, 0.001713
EPI_ISL_29576|176499|A/California/06/2009|M1|2009-04-16, 2009.29, 0.002055, 0.001201
EPI_ISL_30729|181836|A/California/17/2009|E2|2009-04-25, 2009.32, 0.002057, 0.001091
EPI_ISL_60788|211404|A/California/22/2009|C2|2009-05-04, 2009.34, 0.002057, 0.001017
EPI_ISL_80204|282975|A/San_Diego/WR1631P/2009|MDCK2|2009-04-30, 2009.33, 0.002057, 0.001054
EPI_ISL_30140|194199|A/Nevada/05/2009|C1|2009-04-29, 2009.33, 0.001476, 0.000472
