#node	date	numeric date
NODE_0000000	2008-09-22	2008.725953
NODE_0001121	2009-01-30	2009.080176
EPI_ISL_30713|181803|A/Missouri/02/2009|C1|2009-05-01	2009-05-01	2009.330000
NODE_0000002	2009-03-04	2009.172052
EPI_ISL_31165|183139|A/Florida/09/2009|C1|2009-05-01	2009-05-01	2009.330000
EPI_ISL_31575|184373|A/Oklahoma/03/2009|C2|2009-05-01	2009-05-01	2009.330000
NODE_0001124	2009-03-18	2009.210927
EPI_ISL_31564|184340|A/Delaware/07/2009|C1|2009-04-28	2009-04-27	2009.320000
EPI_ISL_30173|179422|A/New_York/3099/2009||2009-04-29	2009-05-01	2009.330000
EPI_ISL_31563|184337|A/Delaware/06/2009|C1|2009-04-28	2009-04-27	2009.320000
NODE_0000031	2009-04-02	2009.250000
EPI_ISL_30105|179150|A/New_Jersey/02/2009|C1|2009-04-01	2009-04-02	2009.250000
NODE_0000005	2009-04-24	2009.310464
NODE_0000007	2009-04-27	2009.320000
EPI_ISL_30726|181833|A/Delaware/08/2009|C1|2009-04-28	2009-04-27	2009.320000
EPI_ISL_30498|180599|A/Delaware/05/2009|E2|2009-04-28	2009-04-27	2009.320000
NODE_0000008	2009-04-25	2009.314578
NODE_0000015	2009-04-26	2009.317776
NODE_0000017	2009-04-27	2009.320000
EPI_ISL_30686|181677|A/New_York/3183/2009||2009-04-28	2009-04-27	2009.320000
EPI_ISL_30134|179251|A/Delaware/04/2009|C1|2009-04-28	2009-04-27	2009.320000
NODE_0000023	2009-04-27	2009.320000
EPI_ISL_30136|179510|A/District_of_Columbia/03/2009|C1|2009-04-27	2009-04-27	2009.320000
EPI_ISL_30099|179121|A/Delaware/03/2009|E1|2009-04-28	2009-04-27	2009.320000
NODE_0000025	2009-04-26	2009.317776
NODE_0000026	2009-04-27	2009.320000
EPI_ISL_30103|179144|A/New_Hampshire/02/2009|C1|2009-04-28	2009-04-27	2009.320000
EPI_ISL_30098|179118|A/Delaware/02/2009|E1|2009-04-28	2009-04-27	2009.320000
NODE_0000028	2009-04-27	2009.320000
EPI_ISL_30061|178984|A/New_York/1682/2009||2009-04-27	2009-04-27	2009.320000
NODE_0000029	2009-04-30	2009.327776
EPI_ISL_30101|179134|A/Maryland/05/2009|C1|2009-04-29	2009-05-01	2009.330000
NODE_0000030	2009-05-01	2009.330000
EPI_ISL_30135|179509|A/District_of_Columbia/02/2009|C1|2009-04-29	2009-05-01	2009.330000
EPI_ISL_30971|182769|A/New_York/3100/2009||2009-04-30	2009-05-01	2009.330000
NODE_0010898	2008-09-22	2008.725953
NODE_0001111	2008-11-25	2008.901055
EPI_ISL_33940|190799|A/San_Antonio/PR923/2009|MDCK2|2009-04-23	2009-04-24	2009.310000
NODE_0000052	2009-02-18	2009.132128
EPI_ISL_33939|190791|A/San_Antonio/PR922/2009|MDCK2|2009-04-15	2009-04-16	2009.290000
NODE_0000053	2009-02-25	2009.152106
EPI_ISL_30717|181815|A/Texas/11/2009|E2|2009-04-23	2009-04-24	2009.310000
NODE_0000056	2009-03-01	2009.162035
EPI_ISL_30114|179175|A/North_Carolina/05/2009|C1|2009-04-28	2009-04-27	2009.320000
NODE_0000034	2009-04-12	2009.277776
NODE_0000035	2009-04-13	2009.280000
EPI_ISL_29578|177302|A/Texas/04/2009|X|2009-04-14	2009-04-13	2009.280000
EPI_ISL_33938|190783|A/San_Antonio/PR921/2009|MDCK2|2009-04-14	2009-04-13	2009.280000
NODE_0000037	2009-04-13	2009.280000
EPI_ISL_30510|180626|A/Texas/04/2009|X/E2|2009-04-14	2009-04-13	2009.280000
NODE_0000038	2009-04-16	2009.290000
EPI_ISL_29581|176515|A/Texas/05/2009|ORIGINAL|2009-04-15	2009-04-16	2009.290000
NODE_0000039	2009-04-22	2009.304578
NODE_0000041	2009-04-24	2009.310000
EPI_ISL_30156|179320|A/Texas/08/2009|E2|2009-04-24	2009-04-24	2009.310000
EPI_ISL_30724|181829|A/Texas/10/2009|E2|2009-04-23	2009-04-24	2009.310000
NODE_0000042	2009-04-23	2009.307776
NODE_0000045	2009-04-24	2009.310000
EPI_ISL_29960|178425|A/Kansas/02/2009|C1|2009-04-24	2009-04-24	2009.310000
EPI_ISL_30192|179568|A/Texas/12/2009|C2|2009-04-24	2009-04-24	2009.310000
NODE_0000046	2009-04-24	2009.310000
EPI_ISL_29746|177424|A/Texas/06/2009|C1|2009-04-23	2009-04-24	2009.310000
NODE_0000047	2009-04-26	2009.317776
EPI_ISL_29952|178375|A/Texas/09/2009|C1|2009-04-25	2009-04-27	2009.320000
NODE_0000051	2009-04-27	2009.320000
EPI_ISL_30117|179189|A/Texas/22/2009|C1|2009-04-26	2009-04-27	2009.320000
EPI_ISL_30506|180618|A/Oklahoma/01/2009|C1|2009-04-28	2009-04-27	2009.320000
NODE_0001106	2008-10-30	2008.828110
EPI_ISL_60811|211459|A/Mississippi/01/2009|C1|2009-05-13	2009-05-12	2009.360000
NODE_0001107	2009-04-27	2009.320000
EPI_ISL_87598|308237|A/San_Diego/WRAIR1644P/2009|MDCK2|2009-06-03	2009-06-03	2009.420000
EPI_ISL_87605|308293|A/San_Diego/WRAIR1654P/2009|MDCK2|2009-06-15	2009-06-14	2009.450000
EPI_ISL_32020|221083|A/Illinois/03/2009|C2|2009-04-27	2009-04-27	2009.320000
EPI_ISL_61538|214178|A/Wisconsin/629-D00244/2009|MDCK1|2009-05-02	2009-05-01	2009.330000
NODE_0001082	2009-01-11	2009.027854
EPI_ISL_31188|183209|A/Michigan/05/2009|C1|2009-05-05	2009-05-05	2009.340000
NODE_0001083	2009-03-23	2009.222020
EPI_ISL_60801|211432|A/Indiana/09/2009|E2|2009-04-22	2009-04-24	2009.310000
NODE_0000057	2009-04-24	2009.310000
EPI_ISL_60810|211455|A/Michigan/03/2009|C1|2009-04-27	2009-04-27	2009.320000
EPI_ISL_31555|184307|A/Michigan/04/2009|C1|2009-04-24	2009-04-24	2009.310000
NODE_0001071	2009-03-16	2009.203122
EPI_ISL_31169|194147|A/Georgia/03/2009|C1|2009-05-04	2009-05-05	2009.340000
EPI_ISL_31168|194146|A/Georgia/02/2009|C1|2009-05-04	2009-05-05	2009.340000
EPI_ISL_30133|191966|A/Alabama/02/2009|C1|2009-04-27	2009-04-27	2009.320000
EPI_ISL_30116|179182|A/Tennessee/05/2009|C1|2009-04-28	2009-04-27	2009.320000
NODE_0001140	2009-02-20	2009.138430
EPI_ISL_328761|1305759|A/Homo_sapiens/USA/10/2015||2015-05-05	--	--
NODE_0001143	2009-04-09	2009.270000
EPI_ISL_502734|1775496|A/USA/P10_HA/2018||2018-01-01	--	--
EPI_ISL_188970|617674|A/California/07-JRO10/2009|Egg_3+MDCK_2|2009-04-09	2009-04-09	2009.270000
